timestamps,open,high,low,close,volume,amount
2026-05-13 10:00:00,81291.37000000,81298.50000000,81213.60000000,81234.51000000,45.54723000,3700773.41791940
2026-05-13 10:05:00,81234.51000000,81234.52000000,81167.48000000,81182.29000000,22.14055000,1797559.59373170
2026-05-13 10:10:00,81182.29000000,81182.30000000,81095.05000000,81106.95000000,44.54802000,3613694.70677300
2026-05-13 10:15:00,81106.95000000,81127.97000000,81106.94000000,81121.29000000,18.02905000,1462501.68051350
2026-05-13 10:20:00,81121.29000000,81152.00000000,81102.51000000,81110.08000000,22.82015000,1851328.15977450
2026-05-13 10:25:00,81110.07000000,81110.08000000,80974.00000000,80974.02000000,33.59851000,2722236.33692550
2026-05-13 10:30:00,80974.02000000,81034.75000000,80937.92000000,80937.92000000,39.24669000,3178522.70006120
2026-05-13 10:35:00,80937.92000000,80964.89000000,80918.42000000,80918.42000000,18.73434000,1516184.31393240
2026-05-13 10:40:00,80918.42000000,80926.95000000,80825.80000000,80854.56000000,30.33635000,2453715.87492250
2026-05-13 10:45:00,80854.55000000,80880.53000000,80825.93000000,80844.43000000,35.64791000,2882419.84723880
2026-05-13 10:50:00,80844.42000000,80850.00000000,80809.30000000,80828.15000000,30.03278000,2427575.98014100
2026-05-13 10:55:00,80828.15000000,80850.00000000,80809.01000000,80809.01000000,24.08130000,1946488.99291690
2026-05-13 11:00:00,80809.01000000,80843.87000000,80743.05000000,80743.96000000,61.77239000,4990144.48310100
2026-05-13 11:05:00,80743.95000000,80743.95000000,80626.24000000,80667.14000000,72.08358000,5815131.05193680
2026-05-13 11:10:00,80667.14000000,80670.75000000,80572.68000000,80573.06000000,131.90182000,10633765.05474630
2026-05-13 11:15:00,80573.07000000,80668.42000000,80544.32000000,80642.95000000,48.78752000,3933204.44232920
2026-05-13 11:20:00,80642.96000000,80683.19000000,80600.00000000,80637.35000000,39.91166000,3218619.12904300
2026-05-13 11:25:00,80637.35000000,80637.35000000,80560.00000000,80570.80000000,30.13380000,2428553.53678350
2026-05-13 11:30:00,80570.80000000,80669.73000000,80560.92000000,80663.48000000,52.39151000,4224252.52574690
2026-05-13 11:35:00,80663.48000000,80666.99000000,80639.25000000,80656.80000000,44.51628000,3590549.48584490
2026-05-13 11:40:00,80656.80000000,80678.65000000,80656.79000000,80674.03000000,29.54449000,2383170.60917240
2026-05-13 11:45:00,80674.02000000,80696.00000000,80601.89000000,80601.89000000,24.26358000,1956945.75875500
2026-05-13 11:50:00,80601.89000000,80601.90000000,80521.04000000,80531.81000000,44.56020000,3588979.77582280
2026-05-13 11:55:00,80531.80000000,80544.72000000,80494.98000000,80501.22000000,88.22591000,7104127.64235630
2026-05-13 12:00:00,80501.22000000,80592.65000000,80470.00000000,80584.26000000,41.40004000,3333976.74498810
2026-05-13 12:05:00,80584.26000000,80584.26000000,80500.00000000,80530.22000000,54.50361000,4388724.21357910
2026-05-13 12:10:00,80530.21000000,80563.45000000,80454.74000000,80537.05000000,65.71795000,5291046.16311160
2026-05-13 12:15:00,80537.05000000,80557.71000000,80523.61000000,80532.00000000,38.70097000,3117023.40638750
2026-05-13 12:20:00,80532.00000000,80532.00000000,80177.00000000,80280.22000000,163.84325000,13155802.34978040
2026-05-13 12:25:00,80280.22000000,80373.05000000,80248.30000000,80349.31000000,52.30412000,4201002.85917420
2026-05-13 12:30:00,80349.31000000,80359.35000000,80052.00000000,80112.00000000,181.31358000,14531631.78095370
2026-05-13 12:35:00,80112.01000000,80160.00000000,79858.00000000,79943.08000000,260.04106000,20798118.85862350
2026-05-13 12:40:00,79943.07000000,80179.48000000,79852.00000000,80163.53000000,164.93320000,13199350.89873020
2026-05-13 12:45:00,80163.53000000,80274.63000000,80148.98000000,80232.51000000,97.86200000,7850222.19929500
2026-05-13 12:50:00,80232.51000000,80280.00000000,80161.03000000,80161.04000000,33.63676000,2698578.39176420
2026-05-13 12:55:00,80161.04000000,80217.86000000,80140.69000000,80202.78000000,40.11097000,3216143.83671140
2026-05-13 13:00:00,80202.78000000,80290.68000000,80199.00000000,80276.99000000,52.46202000,4210773.37979450
2026-05-13 13:05:00,80277.00000000,80337.00000000,80256.24000000,80316.46000000,50.39466000,4046350.25809780
2026-05-13 13:10:00,80316.46000000,80345.45000000,80301.00000000,80301.00000000,39.21281000,3149723.35204860
2026-05-13 13:15:00,80301.01000000,80337.01000000,80280.00000000,80300.01000000,36.84319000,2958554.98224910
2026-05-13 13:20:00,80300.00000000,80300.01000000,80224.23000000,80224.24000000,26.22911000,2104969.60656080
2026-05-13 13:25:00,80224.25000000,80224.25000000,80144.34000000,80149.74000000,70.34582000,5640536.95966540
2026-05-13 13:30:00,80149.73000000,80210.00000000,80070.01000000,80135.52000000,96.28450000,7715237.15032170
2026-05-13 13:35:00,80135.99000000,80136.91000000,79887.19000000,79891.15000000,115.64817000,9248938.77078260
2026-05-13 13:40:00,79891.15000000,79955.19000000,79780.00000000,79850.00000000,202.10058000,16135906.51050360
2026-05-13 13:45:00,79850.00000000,79850.00000000,79576.47000000,79651.44000000,242.73668000,19336998.67349180
2026-05-13 13:50:00,79651.44000000,79749.08000000,79593.32000000,79749.07000000,157.13547000,12518665.85996980
2026-05-13 13:55:00,79749.08000000,79770.00000000,79601.26000000,79656.01000000,115.88553000,9232301.11719460
2026-05-13 14:00:00,79656.01000000,79698.21000000,79481.56000000,79644.00000000,254.67508000,20262740.40618910
2026-05-13 14:05:00,79644.00000000,79764.78000000,79614.01000000,79690.00000000,105.35383000,8396195.25451770
2026-05-13 14:10:00,79689.99000000,79785.99000000,79683.87000000,79714.97000000,74.40141000,5931885.34593620
2026-05-13 14:15:00,79714.98000000,79775.87000000,79673.29000000,79711.16000000,65.99729000,5260512.41706720
2026-05-13 14:20:00,79711.16000000,79820.57000000,79692.00000000,79780.01000000,54.16197000,4320108.60205850
2026-05-13 14:25:00,79780.00000000,79898.00000000,79780.00000000,79852.73000000,84.74558000,6766281.03071600
2026-05-13 14:30:00,79852.73000000,79862.91000000,79770.00000000,79784.15000000,68.97641000,5505069.85303970
2026-05-13 14:35:00,79784.16000000,79815.90000000,79750.70000000,79792.98000000,57.08609000,4554018.33365550
2026-05-13 14:40:00,79792.97000000,79799.66000000,79706.99000000,79707.00000000,53.11025000,4235909.56283380
2026-05-13 14:45:00,79707.00000000,79735.29000000,79651.82000000,79669.99000000,39.74291000,3166951.29668880
2026-05-13 14:50:00,79669.98000000,79817.64000000,79650.40000000,79740.82000000,52.85208000,4214254.55973700
2026-05-13 14:55:00,79740.82000000,79762.77000000,79705.64000000,79756.01000000,31.28288000,2494327.21154700
2026-05-13 15:00:00,79756.02000000,79856.08000000,79739.42000000,79747.43000000,98.07652000,7826763.54936700
2026-05-13 15:05:00,79747.42000000,79747.43000000,79550.00000000,79615.58000000,68.42950000,5449271.71926930
2026-05-13 15:10:00,79615.03000000,79615.04000000,79414.00000000,79436.11000000,125.17260000,9950988.79055180
2026-05-13 15:15:00,79436.11000000,79478.98000000,79347.05000000,79347.05000000,90.12438000,7158135.00446040
2026-05-13 15:20:00,79347.06000000,79408.50000000,79302.28000000,79350.80000000,125.76073000,9979262.10400280
2026-05-13 15:25:00,79350.80000000,79368.85000000,79252.50000000,79283.08000000,124.47997000,9870736.72590070
2026-05-13 15:30:00,79283.09000000,79312.42000000,79228.35000000,79307.00000000,163.51564000,12959984.30644000
2026-05-13 15:35:00,79307.00000000,79310.68000000,79229.87000000,79251.83000000,69.55073000,5513988.27433500
2026-05-13 15:40:00,79251.83000000,79348.20000000,79240.41000000,79251.39000000,90.66950000,7188899.76340280
2026-05-13 15:45:00,79251.39000000,79261.10000000,79125.00000000,79177.80000000,180.95653000,14334212.81771450
2026-05-13 15:50:00,79177.79000000,79177.79000000,79070.30000000,79097.81000000,143.48273000,11349039.04868380
2026-05-13 15:55:00,79097.82000000,79097.82000000,78807.22000000,78827.21000000,451.21175000,35623630.97421990
2026-05-13 16:00:00,78827.21000000,79020.92000000,78811.99000000,78906.76000000,361.18318000,28507635.02693540
2026-05-13 16:05:00,78906.76000000,78911.25000000,78759.32000000,78763.55000000,278.11429000,21924232.06862480
2026-05-13 16:10:00,78763.55000000,78927.14000000,78754.65000000,78922.12000000,281.14529000,22164902.36350490
2026-05-13 16:15:00,78922.11000000,78939.53000000,78856.86000000,78912.01000000,61.91155000,4884925.63435810
2026-05-13 16:20:00,78912.01000000,79059.25000000,78900.00000000,78991.16000000,71.97384000,5684482.91361840
2026-05-13 16:25:00,78991.17000000,79060.06000000,78970.00000000,79058.15000000,43.39259000,3428785.30180980
2026-05-13 16:30:00,79058.15000000,79140.17000000,79043.05000000,79131.80000000,83.45010000,6599366.04577160
2026-05-13 16:35:00,79131.80000000,79148.81000000,79104.41000000,79135.12000000,95.76437000,7577755.49387090
2026-05-13 16:40:00,79135.12000000,79169.70000000,79115.43000000,79142.75000000,62.87022000,4975867.21277890
2026-05-13 16:45:00,79142.75000000,79222.22000000,79120.84000000,79202.40000000,92.82447000,7348705.18680460
2026-05-13 16:50:00,79202.39000000,79202.40000000,79082.17000000,79085.81000000,52.58495000,4161194.72367070
2026-05-13 16:55:00,79085.82000000,79139.04000000,79078.70000000,79108.39000000,36.89898000,2918975.84598080
2026-05-13 17:00:00,79108.39000000,79238.60000000,79108.39000000,79229.05000000,38.74739000,3068823.64974870
2026-05-13 17:05:00,79229.05000000,79229.05000000,79170.99000000,79182.86000000,68.02642000,5387665.92624290
2026-05-13 17:10:00,79182.87000000,79233.00000000,79170.03000000,79233.00000000,42.62741000,3375875.48570680
2026-05-13 17:15:00,79232.99000000,79300.00000000,79100.00000000,79300.00000000,110.72226000,8767431.38893760
2026-05-13 17:20:00,79300.00000000,79337.50000000,79283.24000000,79300.00000000,61.31740000,4863070.87846350
2026-05-13 17:25:00,79300.00000000,79378.54000000,79300.00000000,79331.97000000,35.37103000,2806360.99668050
2026-05-13 17:30:00,79331.96000000,79354.71000000,79324.29000000,79354.64000000,32.19228000,2554121.27360430
2026-05-13 17:35:00,79354.64000000,79375.08000000,79336.51000000,79356.61000000,33.63407000,2669105.59164690
2026-05-13 17:40:00,79356.61000000,79433.01000000,79356.61000000,79430.61000000,37.19020000,2952470.48518790
2026-05-13 17:45:00,79430.61000000,79454.05000000,79391.70000000,79454.05000000,67.23626000,5340490.57213110
2026-05-13 17:50:00,79454.05000000,79508.91000000,79454.04000000,79466.06000000,30.47747000,2422390.63702690
2026-05-13 17:55:00,79466.05000000,79556.36000000,79450.88000000,79514.97000000,53.86300000,4282311.04208090
2026-05-13 18:00:00,79514.97000000,79596.27000000,79514.97000000,79525.93000000,31.94845000,2541551.48586720
2026-05-13 18:05:00,79525.93000000,79600.00000000,79525.92000000,79597.74000000,42.89416000,3413596.36141780
2026-05-13 18:10:00,79597.73000000,79615.01000000,79584.06000000,79606.30000000,32.38883000,2578259.27054250
2026-05-13 18:15:00,79606.30000000,79719.98000000,79555.87000000,79712.90000000,108.87777000,8669752.39053740
2026-05-13 18:20:00,79712.90000000,79800.00000000,79712.89000000,79774.15000000,117.76719000,9393455.02188860
2026-05-13 18:25:00,79774.44000000,79787.39000000,79738.21000000,79767.98000000,132.13405000,10539674.75892710
2026-05-13 18:30:00,79767.97000000,79788.63000000,79676.02000000,79717.41000000,65.36177000,5212392.25815940
2026-05-13 18:35:00,79717.40000000,79743.82000000,79701.62000000,79739.50000000,32.94203000,2626391.94685370
2026-05-13 18:40:00,79739.50000000,79800.00000000,79647.29000000,79647.29000000,56.65374000,4517452.06681120
2026-05-13 18:45:00,79647.29000000,79662.36000000,79558.28000000,79580.18000000,46.90865000,3734481.23667290
2026-05-13 18:50:00,79580.18000000,79639.22000000,79580.17000000,79639.21000000,24.28916000,1933531.98007160
2026-05-13 18:55:00,79639.22000000,79676.68000000,79588.05000000,79598.15000000,55.42014000,4413872.01946730
2026-05-13 19:00:00,79598.15000000,79615.70000000,79517.40000000,79530.56000000,38.27289000,3044880.02809100
2026-05-13 19:05:00,79530.56000000,79550.78000000,79472.92000000,79514.23000000,43.11222000,3428153.20646440
2026-05-13 19:10:00,79514.22000000,79558.87000000,79504.00000000,79514.68000000,28.28127000,2249054.81900010
2026-05-13 19:15:00,79514.68000000,79544.19000000,79462.90000000,79462.91000000,50.31022000,3999233.46381100
2026-05-13 19:20:00,79462.91000000,79495.37000000,79417.64000000,79422.41000000,36.09948000,2868681.35342410
2026-05-13 19:25:00,79422.41000000,79517.99000000,79400.00000000,79495.94000000,67.00755000,5324694.64854930
2026-05-13 19:30:00,79495.93000000,79521.22000000,79495.93000000,79516.92000000,17.65312000,1403650.00776780
2026-05-13 19:35:00,79516.91000000,79603.95000000,79456.45000000,79560.32000000,34.62816000,2754271.52107080
2026-05-13 19:40:00,79560.33000000,79584.89000000,79514.87000000,79514.87000000,32.36358000,2575130.89171720
2026-05-13 19:45:00,79514.87000000,79548.46000000,79512.93000000,79516.37000000,29.70197000,2362155.92526750
2026-05-13 19:50:00,79516.36000000,79580.57000000,79487.60000000,79570.01000000,20.98361000,1669024.27134080
2026-05-13 19:55:00,79570.01000000,79646.29000000,79570.00000000,79642.41000000,65.08174000,5181981.39109040
2026-05-13 20:00:00,79642.41000000,79687.38000000,79640.87000000,79640.87000000,26.17698000,2085217.67828670
2026-05-13 20:05:00,79640.86000000,79666.78000000,79626.96000000,79666.77000000,11.08007000,882453.21382850
2026-05-13 20:10:00,79666.77000000,79754.67000000,79642.34000000,79645.13000000,22.40189000,1785675.81145040
2026-05-13 20:15:00,79645.13000000,79726.87000000,79645.13000000,79719.97000000,17.29984000,1378400.98665890
2026-05-13 20:20:00,79719.97000000,79719.97000000,79655.26000000,79656.86000000,17.20999000,1371332.80220260
2026-05-13 20:25:00,79656.86000000,79676.94000000,79622.70000000,79622.70000000,15.17963000,1209258.84116870
2026-05-13 20:30:00,79622.70000000,79721.89000000,79622.70000000,79670.00000000,23.39821000,1864241.68739820
2026-05-13 20:35:00,79670.01000000,79675.68000000,79652.96000000,79670.21000000,15.92465000,1268635.56025610
2026-05-13 20:40:00,79670.21000000,79744.21000000,79670.20000000,79719.97000000,36.06109000,2873987.64505140
2026-05-13 20:45:00,79719.97000000,79760.00000000,79688.78000000,79704.59000000,19.97201000,1592066.94384670
2026-05-13 20:50:00,79704.59000000,79704.59000000,79675.70000000,79686.30000000,9.09710000,724944.56615650
2026-05-13 20:55:00,79686.30000000,79709.89000000,79682.00000000,79698.95000000,11.42140000,910192.44107610
2026-05-13 21:00:00,79698.95000000,79705.73000000,79642.33000000,79648.19000000,16.42369000,1308474.49784270
2026-05-13 21:05:00,79648.19000000,79651.38000000,79433.33000000,79473.81000000,129.84776000,10324912.62777780
2026-05-13 21:10:00,79473.81000000,79473.82000000,79340.39000000,79449.20000000,50.58589000,4017065.03073730
2026-05-13 21:15:00,79449.19000000,79449.19000000,79385.39000000,79406.50000000,23.43821000,1861179.56629630
2026-05-13 21:20:00,79406.50000000,79422.01000000,79402.06000000,79402.06000000,39.30549000,3121481.87252360
2026-05-13 21:25:00,79402.07000000,79444.00000000,79396.25000000,79418.65000000,32.97065000,2618313.29298520
2026-05-13 21:30:00,79418.65000000,79450.00000000,79418.64000000,79440.00000000,22.86957000,1816703.41253920
2026-05-13 21:35:00,79440.00000000,79491.10000000,79440.00000000,79491.10000000,14.92047000,1185759.88239090
2026-05-13 21:40:00,79491.10000000,79508.07000000,79470.00000000,79479.67000000,15.52655000,1234274.41009600
2026-05-13 21:45:00,79479.67000000,79512.94000000,79410.00000000,79479.19000000,24.33398000,1933609.62313410
2026-05-13 21:50:00,79479.19000000,79527.42000000,79479.18000000,79499.71000000,31.19443000,2480209.76896070
2026-05-13 21:55:00,79499.70000000,79502.73000000,79381.12000000,79398.54000000,16.58387000,1317218.35776670
2026-05-13 22:00:00,79398.54000000,79451.46000000,79357.66000000,79365.57000000,40.25531000,3196660.01128160
2026-05-13 22:05:00,79365.58000000,79365.58000000,79228.00000000,79311.29000000,32.92721000,2610360.90398140
2026-05-13 22:10:00,79311.28000000,79409.43000000,79311.28000000,79409.43000000,37.20718000,2953684.30978800
2026-05-13 22:15:00,79409.43000000,79409.43000000,79290.43000000,79290.43000000,25.24228000,2003147.44754370
2026-05-13 22:20:00,79290.43000000,79327.18000000,79275.46000000,79327.18000000,23.30883000,1848214.57585100
2026-05-13 22:25:00,79327.18000000,79327.18000000,79294.39000000,79317.55000000,20.10318000,1594400.59516900
2026-05-13 22:30:00,79317.56000000,79330.00000000,79241.11000000,79285.15000000,29.27975000,2321488.59554440
2026-05-13 22:35:00,79285.15000000,79300.00000000,79260.01000000,79300.00000000,27.59323000,2187425.38839490
2026-05-13 22:40:00,79299.99000000,79406.00000000,79299.99000000,79406.00000000,24.59997000,1952767.82628530
